epoch,step,train_accuracy,train_f1,train_loss,train_precision,train_recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,49,0.9618055820465088,0.0,0.16782426834106445,0.0,0.0,,,,,
0,99,0.9691585302352905,0.0,0.12514103949069977,0.0,0.0,,,,,
0,149,0.9658905267715454,0.0,0.1292351633310318,0.0,0.0,,,,,
0,199,0.9644608497619629,0.0,0.13121379911899567,0.0,0.0,,,,,
0,249,0.9628268480300903,0.0,0.13152626156806946,0.0,0.0,,,,,
0,249,,,,,,0.9645849466323853,0.0,0.12703582644462585,0.0,0.0
1,299,0.9658905267715454,0.0,0.11620943248271942,0.0,0.0,,,,,
1,349,0.9650735259056091,0.0,0.11751531809568405,0.0,0.0,,,,,
1,399,0.9644607901573181,0.001867413753643632,0.1180686354637146,0.006535947788506746,0.0010893247090280056,,,,,
1,449,0.9618055820465088,0.016339870169758797,0.12199074029922485,0.03267974033951759,0.012978525832295418,,,,,
1,499,0.9638481140136719,0.014359279535710812,0.11083413660526276,0.03267974033951759,0.0092955706641078,,,,,
1,499,,,,,,0.9659019708633423,0.02138090878725052,0.11353456228971481,0.03262098878622055,0.01887797936797142
2,549,0.9673202633857727,0.05640626698732376,0.10200896859169006,0.08496732264757156,0.04729225113987923,,,,,
2,599,0.9775327444076538,0.07896047830581665,0.06960176676511765,0.11220043897628784,0.06470588594675064,,,,,
2,649,0.9703840017318726,0.06194107234477997,0.09206397086381912,0.09803921729326248,0.049891069531440735,,,,,
2,699,0.9734477400779724,0.13061755895614624,0.08243704587221146,0.19281047582626343,0.10622471570968628,,,,,
2,749,0.9736520051956177,0.12498703598976135,0.08240499347448349,0.17320261895656586,0.107765331864357,,,,,
2,749,,,,,,0.9656175374984741,0.06046411022543907,0.12188145518302917,0.07478794455528259,0.06326225399971008
3,799,0.9734477400779724,0.12051278352737427,0.07737749814987183,0.1764705926179886,0.10082478076219559,,,,,
3,849,0.968137264251709,0.13598403334617615,0.08851592987775803,0.19281046092510223,0.11732026934623718,,,,,
3,899,0.976307213306427,0.1503758430480957,0.06981384754180908,0.19607843458652496,0.132430762052536,,,,,
3,949,0.9771242141723633,0.1822284460067749,0.06676668673753738,0.22821351885795593,0.16688454151153564,,,,,
3,999,0.9803921580314636,0.2359425276517868,0.06434271484613419,0.2679738700389862,0.22026145458221436,,,,,
3,999,,,,,,0.9741339683532715,0.1257963925600052,0.07149368524551392,0.15988732874393463,0.1149599701166153
4,1049,0.9822304248809814,0.22468852996826172,0.05336470901966095,0.24836602807044983,0.21526610851287842,,,,,
4,1099,0.9779411554336548,0.2068212479352951,0.06027719005942345,0.25,0.19008713960647583,,,,,
4,1149,0.983047366142273,0.23908641934394836,0.048887670040130615,0.2679738700389862,0.23023656010627747,,,,,
4,1199,0.9808006286621094,0.27474039793014526,0.051981035619974136,0.3180828094482422,0.25468409061431885,,,,,
4,1249,0.982638955116272,0.2694673240184784,0.0483284592628479,0.30392158031463623,0.25152504444122314,,,,,
4,1249,,,,,,0.9715718030929565,0.12322180718183517,0.07533571124076843,0.16115789115428925,0.11581898480653763
5,1299,0.9904003143310547,0.29836082458496094,0.03518220782279968,0.3186274766921997,0.28823530673980713,,,,,
5,1349,0.9869281053543091,0.3154117465019226,0.03826160356402397,0.345098078250885,0.30396828055381775,,,,,
5,1399,0.9867238402366638,0.29957181215286255,0.036651361733675,0.3137255311012268,0.29150325059890747,,,,,
5,1449,0.9910130500793457,0.3432098925113678,0.03113141469657421,0.35163402557373047,0.3467320501804352,,,,,
5,1499,0.983864426612854,0.2795097827911377,0.04127578064799309,0.3082788586616516,0.26856523752212524,,,,,
5,1499,,,,,,0.9756373167037964,0.1670253723859787,0.0695585384964943,0.19664053618907928,0.1623087227344513
6,1549,0.9916258454322815,0.33073970675468445,0.026224294677376747,0.34967321157455444,0.3224945664405823,,,,,
6,1599,0.9922385215759277,0.3585386276245117,0.02559966966509819,0.3736383318901062,0.35200750827789307,,,,,
6,1649,0.9922385811805725,0.37521010637283325,0.023509804159402847,0.3812636137008667,0.3764705955982208,,,,,
6,1699,0.990196168422699,0.3845627009868622,0.02837490290403366,0.40522879362106323,0.3777777850627899,,,,,
6,1749,0.9948937892913818,0.41599470376968384,0.021841367706656456,0.42810460925102234,0.4090414047241211,,,,,
6,1749,,,,,,0.9589083790779114,0.1658710092306137,0.118630550801754,0.19596250355243683,0.1804143190383911
7,1799,0.9944852590560913,0.3719217777252197,0.018154293298721313,0.38235294818878174,0.3672580122947693,,,,,
7,1849,0.9953023195266724,0.42986828088760376,0.017948146909475327,0.44607844948768616,0.4251634180545807,,,,,
7,1899,0.9932599067687988,0.42106783390045166,0.022809254005551338,0.444444477558136,0.4090414047241211,,,,,
7,1949,0.9944853186607361,0.41528403759002686,0.017090870067477226,0.43137258291244507,0.40620917081832886,,,,,
7,1999,0.9940768480300903,0.48246705532073975,0.019666768610477448,0.5,0.4736383557319641,,,,,
7,1999,,,,,,0.9841992855072021,0.2904684543609619,0.03882202133536339,0.32209616899490356,0.28320378065109253
8,2049,0.9969363212585449,0.4721105098724365,0.014289279468357563,0.47712424397468567,0.46895426511764526,,,,,
8,2099,0.9965278506278992,0.450762540102005,0.013194299302995205,0.4575163722038269,0.44880175590515137,,,,,
8,2149,0.9983659982681274,0.5015458464622498,0.010277234017848969,0.5065360069274902,0.49978214502334595,,,,,
8,2199,0.9969363212585449,0.48017433285713196,0.012078898027539253,0.48366016149520874,0.47821351885795593,,,,,
8,2249,0.9983659982681274,0.5042951107025146,0.009544053114950657,0.5098039507865906,0.5008559226989746,,,,,
8,2249,,,,,,0.9906207323074341,0.3707350492477417,0.02414320409297943,0.3918635845184326,0.3650825321674347
9,2299,0.9977532625198364,0.5734671950340271,0.011479349806904793,0.5816993713378906,0.5687364339828491,,,,,
9,2349,0.9975490570068359,0.4685652256011963,0.010708125308156013,0.4771242141723633,0.4645969569683075,,,,,
9,2399,0.9979575276374817,0.5159460306167603,0.009052853100001812,0.5228758454322815,0.5117025375366211,,,,,
9,2449,0.9981617331504822,0.46419757604599,0.008818286471068859,0.46840959787368774,0.46274513006210327,,,,,
9,2499,0.9985703229904175,0.5313725471496582,0.007731919176876545,0.5326797962188721,0.5319017171859741,,,,,
9,2499,,,,,,0.991405189037323,0.38524022698402405,0.02119883894920349,0.4073629081249237,0.3774184584617615
10,2549,0.9991830587387085,0.4602137506008148,0.006036379840224981,0.46078434586524963,0.4611111283302307,,,,,
10,2599,0.998774528503418,0.49884846806526184,0.006992524955421686,0.5032680034637451,0.49618738889694214,,,,,
10,2649,0.9985703229904175,0.5107319951057434,0.007097255904227495,0.514161229133606,0.5092592835426331,,,,,
10,2699,0.9979575276374817,0.5119203329086304,0.008579987101256847,0.516339898109436,0.5092592835426331,,,,,
10,2749,0.998774528503418,0.5302832722663879,0.006825113669037819,0.5359477996826172,0.5272331237792969,,,,,
10,2749,,,,,,0.9963299632072449,0.4519392251968384,0.010770178399980068,0.46273690462112427,0.44741013646125793
11,2799,0.9995914697647095,0.4892624020576477,0.0045802900567650795,0.4901961088180542,0.48856210708618164,,,,,
11,2849,0.9985703229904175,0.5098040103912354,0.006146699655801058,0.5098040103912354,0.5098040103912354,,,,,
