epoch,step,train_accuracy,train_f1,train_loss,train_precision,train_recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,49,0.9644607305526733,0.0,0.14113888144493103,0.0,0.0,,,,,
0,99,0.9658905267715454,0.0,0.1333666890859604,0.0,0.0,,,,,
0,149,0.9644607901573181,0.0,0.13713032007217407,0.0,0.0,,,,,
0,199,0.9652777314186096,0.0,0.13920125365257263,0.0,0.0,,,,,
0,249,0.9632352590560913,0.0,0.14392255246639252,0.0,0.0,,,,,
0,249,,,,,,0.9645097851753235,0.0,0.1411268264055252,0.0,0.0
1,299,0.9644608497619629,0.0,0.13912571966648102,0.0,0.0,,,,,
1,349,0.9673202633857727,0.0,0.12920792400836945,0.0,0.0,,,,,
1,399,0.9634395241737366,0.0,0.1393709033727646,0.0,0.0,,,,,
1,449,0.9689542651176453,0.0,0.12403034418821335,0.0,0.0,,,,,
1,499,0.9683414697647095,0.0,0.12482507526874542,0.0,0.0,,,,,
1,499,,,,,,0.9645097851753235,0.0,0.13788914680480957,0.0,0.0
2,549,0.9648693203926086,0.0,0.13570722937583923,0.0,0.0,,,,,
2,599,0.9638479948043823,0.0,0.1398007720708847,0.0,0.0,,,,,
2,649,0.9646650552749634,0.0,0.139083132147789,0.0,0.0,,,,,
2,699,0.9646650552749634,0.0,0.14077837765216827,0.0,0.0,,,,,
2,749,0.9642565846443176,0.0,0.14134296774864197,0.0,0.0,,,,,
2,749,,,,,,0.9645097851753235,0.0,0.13873134553432465,0.0,0.0
3,799,0.9644607901573181,0.0,0.14012789726257324,0.0,0.0,,,,,
3,849,0.9677287340164185,0.0,0.1258658617734909,0.0,0.0,,,,,
3,899,0.960580050945282,0.0,0.15247271955013275,0.0,0.0,,,,,
3,949,0.9656863212585449,0.0,0.13377532362937927,0.0,0.0,,,,,
3,999,0.9640523195266724,0.0,0.13830207288265228,0.0,0.0,,,,,
3,999,,,,,,0.9645097851753235,0.0,0.13753627240657806,0.0,0.0
4,1049,0.961805522441864,0.0,0.14716844260692596,0.0,0.0,,,,,
4,1099,0.9652777910232544,0.0,0.13403409719467163,0.0,0.0,,,,,
4,1149,0.9693627953529358,0.0,0.1219012439250946,0.0,0.0,,,,,
4,1199,0.9609885811805725,0.0,0.15073290467262268,0.0,0.0,,,,,
4,1249,0.9616013765335083,0.0,0.14784283936023712,0.0,0.0,,,,,
4,1249,,,,,,0.9645097851753235,0.0,0.1375020444393158,0.0,0.0
5,1299,0.9658905267715454,0.0,0.13407880067825317,0.0,0.0,,,,,
